,Mg Concentration,Mg Error1s,Al Concentration,Al Error1s,Si Concentration,Si Error1s,P Concentration,P Error1s,S Concentration,S Error1s,Cl Concentration,Cl Error1s,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,V Concentration,V Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Co Concentration,Co Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,As Concentration,As Error1s,Se Concentration,Se Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Y Concentration,Y Error1s,Zr Concentration,Zr Error1s,Nb Concentration,Nb Error1s,Mo Concentration,Mo Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Sn Concentration,Sn Error1s,Sb Concentration,Sb Error1s,Ba Concentration,Ba Error1s,La Concentration,La Error1s,Ce Concentration,Ce Error1s,Pr Concentration,Pr Error1s,Nd Concentration,Nd Error1s,W Concentration,W Error1s,Au Concentration,Au Error1s,Hg Concentration,Hg Error1s,Pb Concentration,Pb Error1s,Bi Concentration,Bi Error1s,Th Concentration,Th Error1s,U Concentration,U Error1s,LE Concentration,LE Error1s
1_m01,<LOD,22948.0,<LOD,4132.0,<LOD,2945.0,<LOD,2470.0,<LOD,2704.0,<LOD,1178.0,<LOD,2491.0,<LOD,520.0,<LOD,281.0,<LOD,85.0,1083,177.0,<LOD,51.0,1782,143.0,<LOD,12.0,<LOD,29.0,51507,256.0,<LOD,94.0,<LOD,13.0,<LOD,32.0,<LOD,17.0,<LOD,4.0,1890,50.0,93,26.0,3730,46.0,10460,95.0,27152,206.0,903,136.0,2230,220.0,<LOD,10.0,<LOD,3758.0,<LOD,6267.0,<LOD,7628.0,<LOD,12079.0,<LOD,16163.0,<LOD,777.0,894896,471.0,<LOD,225.0,2170,133.0,<LOD,19.0,2106,78.0,<LOD,38.0,<LOD,1197.0
1_m02,<LOD,24005.0,<LOD,4068.0,<LOD,3015.0,<LOD,2430.0,<LOD,2678.0,<LOD,1231.0,<LOD,2495.0,<LOD,560.0,<LOD,276.0,<LOD,84.0,848,171.0,<LOD,50.0,1932,142.0,<LOD,12.0,<LOD,29.0,51760,256.0,<LOD,94.0,<LOD,13.0,<LOD,32.0,<LOD,16.0,<LOD,4.0,1849,49.0,165,25.0,3738,46.0,10429,94.0,28360,210.0,791,136.0,2023,218.0,<LOD,10.0,<LOD,3857.0,<LOD,6695.0,940,257.0,<LOD,12009.0,1789,527.0,<LOD,777.0,890712,702.0,<LOD,225.0,2486,133.0,<LOD,19.0,2178,77.0,<LOD,38.0,<LOD,1201.0
1_m03,<LOD,23420.0,<LOD,4199.0,<LOD,3162.0,<LOD,2342.0,<LOD,2585.0,<LOD,1255.0,<LOD,2493.0,<LOD,612.0,2807,922.0,<LOD,83.0,1135,180.0,<LOD,52.0,3140,158.0,<LOD,12.0,<LOD,29.0,41383,245.0,<LOD,93.0,<LOD,13.0,<LOD,32.0,<LOD,16.0,<LOD,4.0,1843,50.0,164,26.0,3740,47.0,10322,95.0,35318,236.0,1065,138.0,2048,236.0,<LOD,9.0,<LOD,3784.0,<LOD,6528.0,<LOD,8071.0,<LOD,12820.0,<LOD,16648.0,<LOD,771.0,892760,961.0,<LOD,223.0,2200,133.0,<LOD,19.0,2076,78.0,<LOD,37.0,<LOD,1198.0
1_m04,<LOD,22142.0,<LOD,4732.0,<LOD,3606.0,<LOD,2163.0,<LOD,2403.0,<LOD,1231.0,<LOD,2580.0,<LOD,664.0,3819,891.0,<LOD,85.0,927,171.0,<LOD,51.0,8542,200.0,<LOD,14.0,<LOD,29.0,53007,269.0,<LOD,95.0,<LOD,13.0,<LOD,32.0,<LOD,17.0,<LOD,4.0,1808,49.0,203,26.0,3665,46.0,10159,94.0,27793,210.0,934,133.0,1944,217.0,<LOD,10.0,<LOD,4146.0,<LOD,7004.0,<LOD,8807.0,<LOD,13577.0,1638,533.0,<LOD,780.0,881431,1040.0,<LOD,226.0,2184,131.0,<LOD,20.0,1946,75.0,<LOD,38.0,<LOD,1244.0
1_m05,<LOD,24240.0,<LOD,4208.0,<LOD,3071.0,<LOD,2463.0,<LOD,2703.0,<LOD,1218.0,<LOD,2570.0,<LOD,558.0,2959,907.0,<LOD,86.0,1106,178.0,<LOD,52.0,1390,139.0,175,40.0,<LOD,29.0,58892,284.0,<LOD,96.0,<LOD,14.0,<LOD,33.0,<LOD,17.0,<LOD,4.0,1862,50.0,151,26.0,3739,47.0,10292,97.0,23185,192.0,515,137.0,1112,212.0,<LOD,10.0,<LOD,4232.0,<LOD,7357.0,<LOD,9140.0,<LOD,14170.0,<LOD,18733.0,<LOD,790.0,890251,943.0,<LOD,229.0,2225,135.0,<LOD,20.0,1970,78.0,<LOD,38.0,<LOD,1224.0
1_m06,<LOD,25439.0,<LOD,4920.0,<LOD,3413.0,<LOD,2708.0,<LOD,2986.0,<LOD,1471.0,<LOD,3107.0,<LOD,626.0,<LOD,288.0,<LOD,88.0,1209,194.0,<LOD,54.0,1529,148.0,146,42.0,<LOD,30.0,40931,251.0,<LOD,99.0,<LOD,14.0,<LOD,34.0,<LOD,17.0,<LOD,4.0,1871,54.0,110,28.0,3792,50.0,10545,102.0,28685,211.0,697,147.0,1698,248.0,<LOD,10.0,<LOD,4227.0,<LOD,7060.0,<LOD,8811.0,<LOD,13762.0,<LOD,18268.0,<LOD,818.0,904163,505.0,<LOD,237.0,2233,143.0,<LOD,21.0,2244,86.0,<LOD,40.0,<LOD,1295.0
1_m07,<LOD,25028.0,<LOD,4780.0,<LOD,3467.0,<LOD,2697.0,<LOD,2966.0,<LOD,1429.0,<LOD,3008.0,<LOD,624.0,<LOD,290.0,<LOD,89.0,788,185.0,<LOD,53.0,1628,148.0,<LOD,12.0,<LOD,30.0,37601,243.0,<LOD,98.0,<LOD,14.0,<LOD,33.0,<LOD,17.0,<LOD,4.0,1937,54.0,149,29.0,3872,50.0,10726,102.0,25080,198.0,1004,144.0,1527,236.0,<LOD,10.0,<LOD,4402.0,<LOD,7477.0,<LOD,9425.0,<LOD,14497.0,1654,527.0,<LOD,813.0,909354,682.0,<LOD,235.0,2344,143.0,<LOD,20.0,2336,86.0,<LOD,39.0,<LOD,1298.0
1_m08,<LOD,26073.0,<LOD,5118.0,<LOD,3718.0,<LOD,2656.0,<LOD,2982.0,<LOD,1585.0,<LOD,3161.0,<LOD,727.0,<LOD,290.0,<LOD,89.0,790,192.0,<LOD,53.0,2457,160.0,151,43.0,<LOD,30.0,19782,196.0,<LOD,98.0,<LOD,14.0,<LOD,34.0,<LOD,17.0,<LOD,4.0,1963,54.0,168,28.0,3906,50.0,10925,101.0,39386,247.0,1029,150.0,2164,275.0,<LOD,10.0,<LOD,3557.0,<LOD,6028.0,829,260.0,<LOD,12128.0,<LOD,16101.0,<LOD,812.0,911457,568.0,<LOD,235.0,2416,143.0,<LOD,20.0,2428,86.0,<LOD,39.0,<LOD,1319.0
1_m09,<LOD,26110.0,<LOD,4912.0,<LOD,3417.0,<LOD,2721.0,<LOD,3013.0,<LOD,1492.0,<LOD,3082.0,<LOD,650.0,<LOD,299.0,<LOD,91.0,951,193.0,<LOD,53.0,2072,157.0,<LOD,13.0,<LOD,30.0,24457,215.0,<LOD,99.0,<LOD,14.0,<LOD,34.0,<LOD,17.0,<LOD,4.0,1936,55.0,139,28.0,3892,52.0,10765,105.0,26548,204.0,903,151.0,1632,251.0,<LOD,10.0,<LOD,3939.0,<LOD,6633.0,<LOD,8479.0,<LOD,12958.0,<LOD,18041.0,<LOD,819.0,922179,496.0,<LOD,237.0,2460,148.0,<LOD,20.0,2064,86.0,<LOD,40.0,<LOD,1299.0
1_m10,<LOD,24943.0,<LOD,4968.0,<LOD,3431.0,<LOD,2735.0,<LOD,3021.0,<LOD,1452.0,<LOD,3124.0,<LOD,625.0,<LOD,284.0,<LOD,85.0,1234,199.0,<LOD,52.0,1864,151.0,<LOD,12.0,<LOD,30.0,15727,186.0,<LOD,98.0,<LOD,14.0,<LOD,33.0,<LOD,17.0,<LOD,4.0,1996,56.0,126,29.0,3962,52.0,10993,105.0,27833,208.0,1095,150.0,2441,256.0,<LOD,10.0,<LOD,3874.0,<LOD,6604.0,1037,249.0,<LOD,11670.0,<LOD,16973.0,<LOD,814.0,927064,544.0,<LOD,236.0,2352,147.0,<LOD,20.0,2276,89.0,<LOD,39.0,<LOD,1294.0
