,Wavelength (nm)
0,162.831
1,163.089
2,163.347
3,163.604
4,163.862
5,164.12
6,164.377
7,164.635
8,164.893
9,165.151
10,165.408
11,165.666
12,165.924
13,166.181
14,166.439
15,166.697
16,166.954
17,167.212
18,167.47
19,167.727
20,167.985
21,168.243
22,168.5
23,168.758
24,169.016
25,169.273
26,169.531
27,169.788
28,170.046
29,170.304
30,170.561
31,170.819
32,171.076
33,171.334
34,171.591
35,171.849
36,172.106
37,172.364
38,172.621
39,172.879
40,173.137
41,173.394
42,173.652
43,173.909
44,174.166
45,174.424
46,174.681
47,174.939
48,175.196
49,175.454
50,175.711
51,175.969
52,176.226
53,176.484
54,176.741
55,176.998
56,177.256
57,177.513
58,177.771
59,178.028
60,178.285
61,178.543
62,178.8
63,179.057
64,179.315
65,179.572
66,179.83
67,180.087
68,180.344
69,180.601
70,180.859
71,181.116
72,181.373
73,181.631
74,181.888
75,182.145
76,182.403
77,182.66
78,182.917
79,183.174
80,183.432
81,183.689
82,183.946
83,184.203
84,184.46
85,184.718
86,184.975
87,185.232
88,185.489
89,185.746
90,186.004
91,186.261
92,186.518
93,186.775
94,187.032
95,187.289
96,187.546
97,187.804
98,188.061
99,188.318
100,188.575
101,188.832
102,189.089
103,189.346
104,189.603
105,189.86
106,190.117
107,190.374
108,190.631
109,190.889
110,191.146
111,191.403
112,191.66
113,191.917
114,192.174
115,192.431
116,192.688
117,192.945
118,193.202
119,193.459
120,193.715
121,193.972
122,194.229
123,194.486
124,194.743
125,195.0
126,195.257
127,195.514
128,195.771
129,196.028
130,196.285
131,196.542
132,196.798
133,197.055
134,197.312
135,197.569
136,197.826
137,198.083
138,198.34
139,198.596
140,198.853
141,199.11
142,199.367
143,199.624
144,199.88
145,200.137
146,200.394
147,200.651
148,200.907
149,201.164
150,201.421
151,201.678
152,201.934
153,202.191
154,202.448
155,202.704
156,202.961
157,203.218
158,203.474
159,203.731
160,203.988
161,204.244
162,204.501
163,204.758
164,205.014
165,205.271
166,205.528
167,205.784
168,206.041
169,206.297
170,206.554
171,206.811
172,207.067
173,207.324
174,207.58
175,207.837
176,208.093
177,208.35
178,208.606
179,208.863
180,209.119
181,209.376
182,209.632
183,209.889
184,210.145
185,210.402
186,210.658
187,210.915
188,211.171
189,211.428
190,211.684
191,211.94
192,212.197
193,212.453
194,212.71
195,212.966
196,213.222
197,213.479
198,213.735
199,213.992
200,214.248
201,214.504
202,214.761
203,215.017
204,215.273
205,215.53
206,215.786
207,216.042
208,216.298
209,216.555
210,216.811
211,217.067
212,217.323
213,217.58
214,217.836
215,218.092
216,218.348
217,218.605
218,218.861
219,219.117
220,219.373
221,219.629
222,219.886
223,220.142
224,220.398
225,220.654
226,220.91
227,221.166
228,221.422
229,221.678
230,221.935
231,222.191
232,222.447
233,222.703
234,222.959
235,223.215
236,223.471
237,223.727
238,223.983
239,224.239
240,224.495
241,224.751
242,225.007
243,225.263
244,225.519
245,225.775
246,226.031
247,226.287
248,226.543
249,226.799
250,227.055
251,227.311
252,227.567
253,227.823
254,228.079
255,228.335
256,228.59
257,228.846
258,229.102
259,229.358
260,229.614
261,229.87
262,230.126
263,230.381
264,230.637
265,230.893
266,231.149
267,231.405
268,231.66
269,231.916
270,232.172
271,232.428
272,232.683
273,232.939
274,233.195
275,233.451
276,233.706
277,233.962
278,234.218
279,234.473
280,234.729
281,234.985
282,235.24
283,235.496
284,235.752
285,236.007
286,236.263
287,236.519
288,236.774
289,237.03
290,237.285
291,237.541
292,237.797
293,238.052
294,238.308
295,238.563
296,238.819
297,239.074
298,239.33
299,239.585
300,239.841
301,240.096
302,240.352
303,240.607
304,240.863
305,241.118
306,241.374
307,241.629
308,241.885
309,242.14
310,242.395
311,242.651
312,242.906
313,243.162
314,243.417
315,243.672
316,243.928
317,244.183
318,244.438
319,244.694
320,244.949
321,245.204
322,245.46
323,245.715
324,245.97
325,246.226
326,246.481
327,246.736
328,246.991
329,247.247
330,247.502
331,247.757
332,248.012
333,248.267
334,248.523
335,248.778
336,249.033
337,249.288
338,249.543
339,249.799
340,250.054
341,250.309
342,250.564
343,250.819
344,251.074
345,251.329
346,251.584
347,251.839
348,252.094
349,252.35
350,252.605
351,252.86
352,253.115
353,253.37
354,253.625
355,253.88
356,254.135
357,254.39
358,254.645
359,254.9
360,255.155
361,255.409
362,255.664
363,255.919
364,256.174
365,256.429
366,256.684
367,256.939
368,257.194
369,257.449
370,257.704
371,257.958
372,258.213
373,258.468
374,258.723
375,258.978
376,259.232
377,259.487
378,259.742
379,259.997
380,260.252
381,260.506
382,260.761
383,261.016
384,261.271
385,261.525
386,261.78
